tweet_id,text,Intent,Requires_Escalation,Trivial_Pred,Simple_ML_Pred,Agent_Intent,Agent_Reply,Agent_Escalate,Agent_Reason,Judge_Score
14881,@Uber_Support I just did thanks,General_Inquiry,False,General_Inquiry,General_Inquiry,General_Inquiry,Thank you for reaching out to Uber Support. Please let us know if you need assistance with an ongoing trip or your app settings.,False,Standard issue resolved via grounded app guidance and policy links.,6
20055,@115873 charged me $150 without asking me what happened. Bodily fluids? Excuse me? This is an insult. Any way to file a lawsuit? https://t.co/hclxTNR47z,Payment_Account,False,General_Inquiry,Payment_Account,Payment_Account,We want to review this fare dispute. Please send us a direct message with your registered phone number and trip details so our payments team can verify the charges.,False,Standard issue resolved via grounded app guidance and policy links.,3
8607,@115873 How about your drivers in London don’t cancel on you after 15 minutes of being ‘on the way’ then charge you anyway. Happened several times.,Payment_Account,False,General_Inquiry,Ride_Issue,Ride_Issue,We are sorry for this experience with your trip. Your safety and comfort are our top priorities. Please DM us your trip details so we can investigate the driver.,False,Standard issue resolved via grounded app guidance and policy links.,10
784,"1 hour+ inside an old Altima that smells and has ripped stain seats, with an inexperienced miami driver @115873 standards down now 4 applying!",Ride_Issue,False,General_Inquiry,Ride_Issue,Ride_Issue,We are sorry for this experience with your trip. Your safety and comfort are our top priorities. Please DM us your trip details so we can investigate the driver.,False,Standard issue resolved via grounded app guidance and policy links.,10
9339,@659 @115877 It just doesn’t make sense https://t.co/ULdLAtcea2,General_Inquiry,False,General_Inquiry,General_Inquiry,General_Inquiry,Thank you for reaching out to Uber Support. Please let us know if you need assistance with an ongoing trip or your app settings.,False,Standard issue resolved via grounded app guidance and policy links.,6
39697,@Uber_Support What areas specifically around the City of Toronto allow the use of an 8 year old car for UberX,General_Inquiry,False,General_Inquiry,General_Inquiry,General_Inquiry,Thank you for reaching out to Uber Support. Please let us know if you need assistance with an ongoing trip or your app settings.,False,Standard issue resolved via grounded app guidance and policy links.,6
31510,Hey @115873 what's the use of the app if the driver will ask for directions anyway?,Ride_Issue,False,General_Inquiry,Ride_Issue,Ride_Issue,We are sorry for this experience with your trip. Your safety and comfort are our top priorities. Please DM us your trip details so we can investigate the driver.,False,Standard issue resolved via grounded app guidance and policy links.,10
31981,"@115873 worst service, no place to report frauds? You are beggers. #fraud  company",General_Inquiry,False,General_Inquiry,Ride_Issue,Ride_Issue,We are sorry for this experience with your trip. Your safety and comfort are our top priorities. Please DM us your trip details so we can investigate the driver.,True,High-risk financial dispute or legal action mentioned.,7
12628,@Uber_Support I did about 30 minutes ago. Have not heard anything or any response. I’ll just contest through my credit card.,General_Inquiry,False,General_Inquiry,General_Inquiry,General_Inquiry,Thank you for reaching out to Uber Support. Please let us know if you need assistance with an ongoing trip or your app settings.,False,Standard issue resolved via grounded app guidance and policy links.,6
19763,"@Uber_Support 
Dear Team, We moved to US from India(Hyderabad)but still I receive the coupons with respect to Hyd.Pls do the needful",Payment_Account,False,General_Inquiry,General_Inquiry,General_Inquiry,Thank you for reaching out to Uber Support. Please let us know if you need assistance with an ongoing trip or your app settings.,False,Standard issue resolved via grounded app guidance and policy links.,6
31557,@Uber_Support Still waiting,Ride_Issue,False,General_Inquiry,Ride_Issue,Ride_Issue,We are sorry for this experience with your trip. Your safety and comfort are our top priorities. Please DM us your trip details so we can investigate the driver.,False,Standard issue resolved via grounded app guidance and policy links.,10
19234,@Uber_Support i was charged RS 22.67 extra for sucharges &amp; fees .i was overcharged. i have mail 2 time noreply from your side. Did not halt?,Payment_Account,False,General_Inquiry,Payment_Account,Payment_Account,We want to review this fare dispute. Please send us a direct message with your registered phone number and trip details so our payments team can verify the charges.,False,Standard issue resolved via grounded app guidance and policy links.,3
